i002_start,i003_deviceid,i004_end,i005_today,i006_surveyor_name,i007_surveyor_id,i009_country,i011_prgrm,i016_subloc,i016a_subloc_other,i017_vil,i017a_vil_other,i101_wpt_name,i102_wpt_id,i102a_wpt_id_other,i105_disp_serial_number,i106_disp_barcode,i108_date_instaln,i109_disp_photo,i110_disp_passed_qlty_check,i107_accuracy,i107_altitude,i107_latitude,i107_longitude
"2014-02-20 12:59:53.5",355545053525247,"2014-02-21 03:24:10.948","2014-02-20 00:00:00","Moses kadenge",4333,1,LGR,Kulumbeni,,Changamwe,,"Julius baraza well",-999,,1010392,1010392,"2014-02-11 00:00:00",,-999,-999,-999,-999,-999
"2014-02-20 14:03:40.7",355545053525247,"2014-02-21 03:26:42.304","2014-02-20 00:00:00","Festus akalongo",4742,1,LGR,Kulumbeni,,Changamwe,,"Keresent wanjala spring",10260125,,1010736,1010736,"2014-02-20 00:00:00",,-999,0.0000000000,16.0000000000,0.4818410047,34.6980701183
"2014-02-20 15:08:25.693",355545053525247,"2014-02-21 03:29:25.268","2014-02-20 00:00:00","Festus akalongo",4742,1,LGR,Kulumbeni,,Changamwe,,"Abdu ekesamuye well",10260122,,1009263,1009263,"2014-02-20 00:00:00",,-999,4.0000000000,1438.0000000000,0.4883674824,34.7034137822
"2014-02-20 16:40:01.32",355545053525247,"2014-02-21 03:30:59.756","2014-02-20 00:00:00","Festus Akalongo",4742,1,LGR,Kulumbeni,,Lumani,,"Ndombi spring",10260113,,1010652,1010652,"2014-02-20 00:00:00",,-999,4.0000000000,1453.0000000000,0.4849875436,34.7112757273
"2014-02-20 17:16:54.396",355545053525247,"2014-02-21 03:32:23.873","2014-02-20 00:00:00","Festus Akalongo",4742,1,LGR,Kulumbeni,,Lumani,,"Wafukho spring",10260114,,1009229,1009229,"2014-02-20 00:00:00",,-999,4.0000000000,1425.0000000000,0.4871627852,34.7100021230
"2014-02-20 13:43:36.128",355545053525080,"2014-02-20 17:56:14.771","2014-02-20 00:00:00","Moses  kadenge",4333,1,LGR,Kulumbeni,,Makhwabuye,,"Munyasi protected spring",10260100,,1009250,1009250,"2014-02-20 00:00:00",,-999,0.0000000000,10.0000000000,0.4922698411,34.6934690376
"2014-02-20 16:47:18.67",353768053679317,"2014-02-21 06:08:52.878","2014-02-20 00:00:00","Moses  kadenge",4333,1,LGR,Kulumbeni,,Changamwe,,"Chetambe protected  spring",10260121,,1011016,1011016,"2014-02-20 00:00:00",,-999,6.0000000000,1405.0000000000,0.4827591893,34.7065830117
"2014-02-20 16:03:31.015",355545053525080,"2014-02-21 06:30:37.993","2014-02-20 00:00:00","Moses kadenge",4333,1,LGR,Kulumbeni,,Makhukhuni,,"Sikanga protected spring",10260106,,1009294,1009294,"2014-02-20 00:00:00",,-999,1.0000000000,16.0000000000,0.4983988618,34.7100132499
"2014-02-20 12:47:41.868",355545053525114,"2014-02-20 17:03:12.074","2014-02-20 00:00:00","Moses kadenge",4333,1,LGR,Kulumbeni,,Makhwabuye,,"Nyamasike spring",10260325,,1010606,1010606,"2014-02-20 00:00:00",,-999,4.0000000000,1380.0000000000,0.4840719055,34.6900734553
"2014-02-20 15:36:20.51",355545053525114,"2014-02-20 16:13:30.26","2014-02-20 00:00:00","Moses kadege",4333,1,LGR,Kulumbeni,,Makhukhuni,,"Mutoka spring",10260103,,1009239,1009239,"2014-02-20 00:00:00",,-999,4.0000000000,1414.0000000000,0.4961178932,34.7090691278
